EmployeeID,FirstName,LastName,Department,JobTitle,Salary,HireDate,PerformanceRating,Status,TerminationDate
"1034","","Miller"," Production ","Production Worker","71905","2025-10-22","2","Terminated"," 2029-11-09 "
"","Michael","Williams","#N/A","","68761","2022-12-10","1","Terminated","2024-05-04"
"","James","","Production","Production Worker","52737","2022-11-01","2","Terminated"," 2024-10-27 "
"1036","James","Johnson","Production","Production Worker","52737","2022-11-01","2","Terminated","2024-10-27"
"1038","Patricia","Jones","Human Resources","HR Generalist","61936","2023-12-08","3","On Leave","  "
"1039","James","Brown","Marketing","","67522","2022-06-06","","On Leave",""
"1040","","Jones","Human Resources","HR Generalist","63007","","3"," Active ",""
"1041","","Garcia","Finance","Accountant","51374"," 2022-02-11 ","","On Leave",""
"1042","John","Miller","Logistics","Warehouse Associate","45219","2026-04-09","5","Active",""
"1043","Robert","Jones","IT Support","IT Technician","55281","2025-03-04","4","On Leave",""
"1044","John","Davis","Production","Production Worker","74410"," 2026-04-06 ","1","Terminated",""
"","James","Williams","","Accountant","51560","2023-05-02","3"," Active ",""
"1046","James","Johnson","Sales","Sales Associate","66959","2023-06-14","2","Terminated"," 2027-02-26 "
"1046","James","Johnson","Sales","Sales Associate","66959","2023-06-14","2","Terminated","2027-02-26"
"1048","Jennifer","Smith","Sales","Sales Associate","70141"," 2025-02-11 ","4","Terminated","2025-09-17"
"1049","James","Garcia","Sales","Sales Associate","60268","2022-03-31","2","","#N/A"
"1049","James","Garcia","Sales","Sales Associate","60268","2022-03-31","2","On Leave",""
"","John","Williams","Sales"," Sales Associate ","66674"," 2023-11-02 ","2"," On Leave ",""
"1051","John","Williams","Sales","Sales Associate","66674","2023-11-02","2","On Leave",""
"1053","Michael",""," Logistics ","Warehouse Associate","","2023-06-22","3"," Terminated ","2027-03-03"
"1053","Michael","Smith","Logistics","Warehouse Associate","49171","2023-06-22","3","Terminated","2027-03-03"
"1055","Jennifer","Brown","Marketing","#N/A","57610","2023-09-24","4","Terminated","2028-06-01"
"1056","Jennifer","Garcia","Production","Line Supervisor","45900","2023-01-28","4","Terminated","2026-04-06"
"1057"," Michael "," Miller ","Sales","Sales Associate","67723"," 2024-03-29 ","3","On Leave",""
"1058","James","Davis","Production","Production Worker","50515","2022-03-08",""," Active ",""
"1059"," Robert ","Smith","Human Resources","HR Generalist","52802","2026-01-17","3","On Leave",""
"1060","Linda","Miller"," Production ","Production Worker","56832","2026-08-12","","On Leave",""
"1061"," Robert "," Smith "," Human Resources ","HR Generalist","58396","2024-05-12","1","Active",""
"1061","Robert","Smith","Human Resources","HR Generalist","58396","2024-05-12","1","Active",""
"1063","Robert","Smith","Logistics","","69552","2024-03-21","2","On Leave",""
"1064","Mary","Jones","IT Support","IT Technician","45608","2023-02-19","1"," Active ","  "
"1065","Robert","Jones","IT Support","","47499","2022-02-24","3","Active",""
"","Jennifer","Jones","IT Support","IT Technician","68965","#N/A","5","Active",""
"1066","Jennifer","Jones","IT Support","IT Technician","68965","2026-07-16","5","Active",""
"","Jennifer"," Johnson ","Finance","Accountant","55046","2022-11-13","2","Terminated","2027-05-08"
"1069","Linda","Johnson"," Finance ","Accountant","52158"," 2023-12-24 ","4","#N/A","2028-07-24"
"1069","Linda","Johnson","Finance","Accountant","52158","2023-12-24","4","Terminated","2028-07-24"
"1071","","Johnson","Production","Production Worker","68271","2026-04-09","2","Active","#N/A"
"1072"," Michael ","Jones","Logistics","Warehouse Associate","52389"," 2022-12-07 ","4","Active",""
"1073","Michael","Brown","Finance"," Accountant ","50099","2024-04-23","1"," On Leave ",""
"1074","Patricia","Davis","IT Support","IT Technician","","2022-02-10","4","Active",""
"1075","Mary","Garcia","Human Resources","HR Generalist","51829","2024-03-19","3",""," 2024-10-22 "
"1076"," Linda ","#N/A"," Quality Control ","QC Inspector","45910","2026-06-12","5","Terminated","2028-04-26"
"1077","#N/A","Williams"," IT Support ","IT Technician","46791","2024-05-17","5","#N/A",""
"1078","Patricia","Johnson"," Logistics ","Warehouse Associate","46543","2023-11-06","","On Leave",""
"1079","#N/A","Garcia","IT Support","IT Technician","48353","2025-08-13","1"," Terminated ","2027-10-07"
"1079","Mary","Garcia","IT Support","IT Technician","48353","2025-08-13","1","Terminated","2027-10-07"
"","Jennifer","Miller","Logistics","Warehouse Associate","74401","2025-10-20","3","Terminated","2027-02-10"
"1081","Jennifer","Miller","Logistics","Warehouse Associate","74401","2025-10-20","3","Terminated","2027-02-10"
"1082","Robert","Miller","Production","Production Worker","57298","2026-05-26","2","On Leave",""
"1084","Patricia","Brown","Quality Control"," QC Inspector ","57242","2022-02-06","4","On Leave",""
"1085","Linda","Jones"," Sales "," Sales Associate ","59087","2026-05-26","5","Terminated","2031-04-27"
"1085","Linda","Jones","Sales","Sales Associate","59087","2026-05-26","5","Terminated","2031-04-27"
"1087","Linda","Garcia","#N/A","Account Manager","106837","","3","On Leave",""
"1088","James","Miller","Finance"," Accountant ","47554","2025-08-04","4","Active",""
"1089","","Jones"," Finance ","Accountant","57552","2026-04-05","1"," Active ",""
"1089","John","Jones","Finance","Accountant","57552","2026-04-05","1","Active",""
"1091","Mary","Davis","Marketing","Marketing Coordinator","54741","2023-09-21","1","On Leave",""
"","Patricia","Johnson","Logistics","","59015","2022-04-21","3","Terminated","2023-07-31"
"1093","John","","Finance","Accountant","67606","2025-04-27","5","Active",""
"","Jennifer","Jones","Production","","52590"," 2024-01-10 ","3","On Leave",""
""," Robert ","Jones","Human Resources","HR Generalist","54192","2026-02-03","4","","#N/A"
"1096"," John ","Miller","Finance","Accountant","73423","2023-04-29","5","On Leave",""
"1097"," James ","Davis","Human Resources","HR Generalist","53944","2024-11-23","2","Terminated","2025-01-07"
"1098","","Garcia","Human Resources","","45101","2026-02-03",""," On Leave ",""
"1099","James","Johnson","Human Resources","","53104","2024-12-27","2","Active",""
